wavelength_nm, transmission
1.540000000000000000e+03,2.780455275510128419e-03
1.540100100100100008e+03,2.781851322662159693e-03
1.540200200200200243e+03,2.783336075908283101e-03
1.540300300300300250e+03,2.784909688963721486e-03
1.540400400400400486e+03,2.786572326867097806e-03
1.540500500500500493e+03,2.788324166019518456e-03
1.540600600600600501e+03,2.790165394226783429e-03
1.540700700700700736e+03,2.792096210744696855e-03
1.540800800800800744e+03,2.794116826327432395e-03
1.540900900900900979e+03,2.796227463279149939e-03
1.541001001001000986e+03,2.798428355508655440e-03
1.541101101101100994e+03,2.800719748587336775e-03
1.541201201201201229e+03,2.803101899810248564e-03
1.541301301301301237e+03,2.805575078260455230e-03
1.541401401401401472e+03,2.808139564876679147e-03
1.541501501501501480e+03,2.810795652524148910e-03
1.541601601601601715e+03,2.813543646068891475e-03
1.541701701701701722e+03,2.816383862455293808e-03
1.541801801801801730e+03,2.819316630787082386e-03
1.541901901901901965e+03,2.822342292411785577e-03
1.542002002002001973e+03,2.825461201008565293e-03
1.542102102102102208e+03,2.828673722679675949e-03
1.542202202202202216e+03,2.831980236045373352e-03
1.542302302302302223e+03,2.835381132342452200e-03
1.542402402402402458e+03,2.838876815526478106e-03
1.542502502502502466e+03,2.842467702377584476e-03
1.542602602602602701e+03,2.846154222610158217e-03
1.542702702702702709e+03,2.849936818986147091e-03
1.542802802802802717e+03,2.853815947432318794e-03
1.542902902902902952e+03,2.857792077161408831e-03
1.543003003003002959e+03,2.861865690797130764e-03
1.543103103103103194e+03,2.866037284503292117e-03
1.543203203203203202e+03,2.870307368116920520e-03
1.543303303303303210e+03,2.874676465285498986e-03
1.543403403403403445e+03,2.879145113608528456e-03
1.543503503503503453e+03,2.883713864783147424e-03
1.543603603603603688e+03,2.888383284754282663e-03
1.543703703703703695e+03,2.893153953869039615e-03
1.543803803803803703e+03,2.898026467035693700e-03
1.543903903903903938e+03,2.903001433887203182e-03
1.544004004004003946e+03,2.908079478949273516e-03
1.544104104104104181e+03,2.913261241813275889e-03
1.544204204204204188e+03,2.918547377313850371e-03
1.544304304304304196e+03,2.923938555711414877e-03
1.544404404404404431e+03,2.929435462879780277e-03
1.544504504504504439e+03,2.935038800498576770e-03
1.544604604604604674e+03,2.940749286251116007e-03
1.544704704704704682e+03,2.946567654027317743e-03
1.544804804804804917e+03,2.952494654132102603e-03
1.544904904904904924e+03,2.958531053499195446e-03
1.545005005005004932e+03,2.964677635910610825e-03
1.545105105105105167e+03,2.970935202221653120e-03
1.545205205205205175e+03,2.977304570591824719e-03
1.545305305305305410e+03,2.983786576721680819e-03
1.545405405405405418e+03,2.990382074095607016e-03
1.545505505505505425e+03,2.997091934230912587e-03
1.545605605605605660e+03,3.003917046933101114e-03
1.545705705705705668e+03,3.010858320557534013e-03
1.545805805805805903e+03,3.017916682277804828e-03
1.545905905905905911e+03,3.025093078360679890e-03
1.546006006006005919e+03,3.032388474447988286e-03
1.546106106106106154e+03,3.039803855845411677e-03
1.546206206206206161e+03,3.047340227818437237e-03
1.546306306306306396e+03,3.054998615895684021e-03
1.546406406406406404e+03,3.062780066179642251e-03
1.546506506506506412e+03,3.070685645665108265e-03
1.546606606606606647e+03,3.078716442565340283e-03
1.546706706706706655e+03,3.086873566646215587e-03
1.546806806806806890e+03,3.095158149568627646e-03
1.546906906906906897e+03,3.103571345239197320e-03
1.547007007007006905e+03,3.112114330169501140e-03
1.547107107107107140e+03,3.120788303844196972e-03
1.547207207207207148e+03,3.129594489097769962e-03
1.547307307307307383e+03,3.138534132500901859e-03
1.547407407407407391e+03,3.147608504755799314e-03
1.547507507507507398e+03,3.156818901101482531e-03
1.547607607607607633e+03,3.166166641728675613e-03
1.547707707707707641e+03,3.175653072204817282e-03
1.547807807807807876e+03,3.185279563909493381e-03
1.547907907907907884e+03,3.195047514480294643e-03
1.548008008008008119e+03,3.204958348269791851e-03
1.548108108108108127e+03,3.215013516813132726e-03
1.548208208208208134e+03,3.225214499307527734e-03
1.548308308308308369e+03,3.235562803103084889e-03
1.548408408408408377e+03,3.246059964205687872e-03
1.548508508508508612e+03,3.256707547792121304e-03
1.548608608608608620e+03,3.267507148737811788e-03
1.548708708708708627e+03,3.278460392157294019e-03
1.548808808808808863e+03,3.289568933958227255e-03
1.548908908908908870e+03,3.300834461408490728e-03
1.549009009009009105e+03,3.312258693717711529e-03
1.549109109109109113e+03,3.323843382632530197e-03
1.549209209209209121e+03,3.335590313046921541e-03
1.549309309309309356e+03,3.347501303627478750e-03
1.549409409409409363e+03,3.359578207453697233e-03
1.549509509509509599e+03,3.371822912674812475e-03
1.549609609609609606e+03,3.384237343182127690e-03
1.549709709709709614e+03,3.396823459298516958e-03
1.549809809809809849e+03,3.409583258484969424e-03
1.549909909909909857e+03,3.422518776064473363e-03
1.550010010010010092e+03,3.435632085964307383e-03
1.550110110110110099e+03,3.448925301476628204e-03
1.550210210210210107e+03,3.462400576038092252e-03
1.550310310310310342e+03,3.476060104029442179e-03
1.550410410410410350e+03,3.489906121594533572e-03
1.550510510510510585e+03,3.503940907480830157e-03
1.550610610610610593e+03,3.518166783900356174e-03
1.550710710710710600e+03,3.532586117413022767e-03
1.550810810810810835e+03,3.547201319832355305e-03
1.550910910910910843e+03,3.562014849153793353e-03
1.551011011011011078e+03,3.577029210507528308e-03
1.551111111111111086e+03,3.592246957134888601e-03
1.551211211211211321e+03,3.607670691390464732e-03
1.551311311311311329e+03,3.623303065769564301e-03
1.551411411411411336e+03,3.639146783962717013e-03
1.551511511511511571e+03,3.655204601936903972e-03
1.551611611611611579e+03,3.671479329045238601e-03
1.551711711711711814e+03,3.687973829165490814e-03
1.551811811811811822e+03,3.704691021868275393e-03
1.551911911911911830e+03,3.721633883615998745e-03
1.552012012012012065e+03,3.738805448993299130e-03
1.552112112112112072e+03,3.756208811969511188e-03
1.552212212212212307e+03,3.773847127195284132e-03
1.552312312312312315e+03,3.791723611332899549e-03
1.552412412412412323e+03,3.809841544422446803e-03
1.552512512512512558e+03,3.828204271284389899e-03
1.552612612612612565e+03,3.846815202959342431e-03
1.552712712712712801e+03,3.865677818187058558e-03
1.552812812812812808e+03,3.884795664925035519e-03
1.552912912912912816e+03,3.904172361908347932e-03
1.553013013013013051e+03,3.923811600251611575e-03
1.553113113113113059e+03,3.943717145094761088e-03
1.553213213213213294e+03,3.963892837293792569e-03
1.553313313313313301e+03,3.984342595157816351e-03
1.553413413413413309e+03,4.005070416234123888e-03
